Pais,Region,Provincia,Comarca,Zona,Pueblo,Nombre de la ruta,Categoria,Dificultad,Descripcion dificultad,Distancia Total,Altitud minima,Altitud máxima,Desnivel acumulado,Tiempo total efectivo,Punto de salida / llegada,Población más cercana,Link archivo,Pdf_path,Fecha
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Circular Sort - Estac - Peramea - Gerri - Arboló - Sort,"Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"48,4 km",586,1.340,2.280m,12:55h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/circular-sort-estac-peramea-gerri-sort,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,"De Sort a Gerri de la Sal por Estac, Mencui y Peramea",Paisajes pintorescos;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,33 km,607,1.340,+ 1.764m / - 1.854m,9:30h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/sort-estac-mencui-peramea-gerri-de-la-sal,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Esterri d´Àneu,Descubriendo el valle de Unarre,Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,9 km",1198,1.422,230m,1:30h,Unarre,Unarre,https://www.rutaspirineos.org/rutas/ruta-unarre-cerbi-auros,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,El pequeño lago de Davall en Comes de Rubió,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",1.961,2.086,125m,2:00h,Refugio Comes de Rubió,Rubió,https://www.rutaspirineos.org/rutas/estany-davall-volta-comes-de-rubio,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,El Valle de Àssua desde Sort,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,30 km,692,1.452,1.265m,7:50h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/el-valle-de-assua-desde-sort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Rialp,"El valle de Àssua, tierra de pastores",Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,4 km",721,1.412,1.074m,5:50h,Plaza de Les Escoles,Rialp,https://www.rutaspirineos.org/rutas/la-vall-d-assua-des-de-rialp,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Esterri d´Àneu,El valle y los lagos de Gerber,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,6 km",1.919,2.165,290m,2:50h,Aparcamiento del Clot Gran,Sorpe,https://www.rutaspirineos.org/rutas/valle-y-lagos-de-gerber-port-de-la-bonaigua,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Ermita de Sant Quir en Alins,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,1.045,1.106,60m,0:40h,Inicio del pueblo de Alins,Alins,https://www.rutaspirineos.org/rutas/ermita-de-sant-quir-alins,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Itinerario adaptado al lago de Sant Maurici,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-estany-de-sant-maurici,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Itinerario adaptado del puente de la Gorga,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-pont-de-la-gorga,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,8 km",700,1.304,720m,3:50h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Itinerario por el Bosque de Virós,Familias y niños;Patrimonio histórico;Rutas circulares;Raquetas de nieve;Flora y fauna,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,8 km",1.280,1.430,185m,2:00h,Aparcamiento bordas de Virós,Araós,https://www.rutaspirineos.org/rutas/itinerario-por-el-bosc-de-viros-buiro-santes-creus,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,La ermita de Sant Romà de Estac,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,9 km",1.160,1.440,280m,1:50h,Iglesia de Sant Marçal,Estac,https://www.rutaspirineos.org/rutas/ruta-sant-roma-estac-pallars,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Baix Pallars,Gerri de la Sal,"La Geganta Adormida, itinerario histórico por el Pla de Corts",Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,6 km",806,1.066,486m,4:05h,Peramea,Peramea,https://www.rutaspirineos.org/rutas/la-geganta-adormida-peramea-pla-de-corts-montcortes,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Sort,Malmercat y el castillo de Arcalís desde Sort,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"24,4 km",640,1.054,1.220m,7:30h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/castell-arcalis-sort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,Esterri de Cardós,Mirador del Cap de la Roca en Esterri de Cardós,Familias y niños;Paisajes pintorescos,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",1.195,1.230,40m,1:00h,Esterri de Cardós,Esterri de Cardós,https://www.rutaspirineos.org/rutas/mirador-del-cap-de-la-roca-en-esterri-de-cardos,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Alós de Isil,Mont Valier (2.838m) y pico de la Pala Clavera (2.721m),Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","22,5 km",1.475,2.838,+1.600m/-830m | +880m/-1.650m,5:20h | 5:45h,Puente de Perosa,Alós d'Isil,https://www.rutaspirineos.org/rutas/mont-valier-petit-mont-valier-y-pico-de-la-pala-clavera,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Noguera Pallaresa y Valle de Àssua desde Sort,"Lagos, ríos y cascadas;Rutas circulares;Patrimonio histórico",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"18,7 km",692,1.099,605m,4:45h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/sort-rialp-surp-altron-olp-sort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Pica d'Estats (3.143m) desde la Vall Ferrera,Ascensiones alta montaña;Cimas de 3.000m;Paisajes pintorescos,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,4 km",1.805,3.143,1.338m,10:15h,La Molinassa,Àreu,https://www.rutaspirineos.org/rutas/pica-estats-desde-el-refugio-de-la-vall-ferrera,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Pico de Amitges (2.848m) y Tuc de Saboredo (2.829m),"Ascensiones alta montaña;Paisajes pintorescos;Lagos, ríos y cascadas",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",21 km,1.634,2.848,1.500m,11:00h,Aparcamiento de Prat Pierró,Espot,https://www.rutaspirineos.org/rutas/pico-de-amitges-y-tuc-de-saboredo-por-sant-maurici,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,Tavascan-Lladorre,Pico de la Coma del Forn (2.685m) desde la Pleta del Prat,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","6,8 km",1.720,2.685,965m,5:35h,Refugio Pleta del Prat,Tavascan,https://www.rutaspirineos.org/rutas/pico-de-la-coma-del-forn-desde-la-pleta-del-prat-tavascan,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Pico de Peguera (2.983m) y pico de Monestero (2.877m),Rutas circulares;Ascensiones alta montaña,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",23 km,1.645,2.983,+723m/-50m | +822m/-1.495m,2:50h | 6:30h,Aparcamiento de Prat de Pierró,Espot,https://www.rutaspirineos.org/rutas/pico-de-peguera-y-pico-de-monestero,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,Ruta de las fuentes de Llagunes,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,7 km",1.270,1.320,90m,0:45h,Llagunes - Refugio Vall de Siarb,Llagunes,https://www.rutaspirineos.org/rutas/ruta-de-les-fonts-llagunes,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Sort,Tornafort y el valle de Siarb desde Sort,"Rutas circulares;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"18,5 km",670,1.300,700m,4:30h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/sort-saverneda-puiforniu-tornafort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,Torreta del Orri (2.439m) desde Llagunes,Rutas circulares;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,6 km",1.302,2.439,1.200m,6:00h,Llagunes - Refugio Vall de Siarb,Llagunes,https://www.rutaspirineos.org/rutas/torreta-de-orri-desde-llagunes,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,Torreta del Orri (2.439m) por las Comes de Rubió,Raquetas de nieve;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,18 km,1.648,2.439,800m,6:45h,Rubió,Rubió,https://www.rutaspirineos.org/rutas/torreta-orri-por-comes-de-rubio,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Virgen de Arboló y Gerri de la Sal desde Sort,"Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,3 km",585,817,+461m / -544m,5:00h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/mare-de-deu-arbolo-gerri-de-la-sal-sort,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,Vuelta a la sierra de Freixa desde Llagunes,"Rutas circulares;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,5 km",1.302,1.700,500m,2:40h,Llagunes - Refugio Vall de Siarb,Llagunes,https://www.rutaspirineos.org/rutas/volta-a-la-serra-de-freixa-des-de-llagunes,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Mig Pallars,Llavorsí,Vuelta a los campos de Arnui desde Llavorsí,Paisajes pintorescos;Familias y niños;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,5 km,811,1.347,540m,1:50h,Escuelas de Llavorsí,Llavorsí,https://www.rutaspirineos.org/rutas/volta-als-camps-arnui-llavorsi,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-volta-als-camps-arnui-llavorsi_es.pdf,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,Vuelta al refugio de Comes de Rubió,Familias y niños;Rutas circulares;Raquetas de nieve,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,9 km",1.700,2.052,400m,3:30h,Puerto del Cantó,Rubió,https://www.rutaspirineos.org/rutas/vuelta-al-refugio-de-les-comes-de-rubio-desde-port-del-canto,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,,GR 11 - Etapa 17: Refugio de Baiau - Àreu,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,4 km",1.225,2.517,+60m / -1.352m,4:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-17-refugio-baiau-areu,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,,GR 11 - Etapa 18: Àreu - Tavascan,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,6 km",1.120,2.239,+1.100m / -1.205m,5:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-18-areu-tavascan,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,,GR 11 - Etapa 19: Tavascan - Estaon,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"11,9 km",1.120,1.843,+850m / -715m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-19-tavascan-estaon,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 20: Estaon - La Guingueta d'Àneu,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"11,8 km",941,2.221,+975m / -1.289m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-20-estaon-guingueta-aneu,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 21: La Guingueta d'Àneu - Sant Maurici Refugio Mallafré,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",941,1.893,+1.190m / -238m,5:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-21-guingueta-aneu-sant-maurici-refugio-mallafre,True,11/11/2025
España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 22: Refugio Mallafré - Refugio de Colomers,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,5 km",1.870,2.594,+800m / -555m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-22-refugio-mallafre-refugio-colomers,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Sant Llorenç de Morunys,Camino Verde del Valle de Lord - Fuentes del Cardener,"Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"14,6 km",868,1.041,380m,4:00h,Oficina de turismo,Sant Llorenç de Morunys,https://www.rutaspirineos.org/rutas/cami-verd-vall-de-lord-fonts-del-cardener,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Port del Comte,Odèn-Cambrils,Circular a la Roca de Canalda,Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,8 km",1.184,1.405,240m,2:05h,Canalda,Canalda,https://www.rutaspirineos.org/rutas/roca-de-canalda,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-roca-de-canalda_es.pdf,11/11/2025
España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Navès,De la Vall d'Ora al Pla de Busa y Sant Pere de Graudescales,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,4 km",745,1.350,750m,3:45h,Monumento a Guifré el Pilós,Navès,https://www.rutaspirineos.org/rutas/la-vall-d-ora-pla-de-busa-sant-pere-de-graudescales,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Meseta del Solsonés,Riner,Del santuario del Miracle a la Alzina,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","7,6 km",722,834,275m,2:05h,Santuario del Miracle,Su,https://www.rutaspirineos.org/rutas/santuari-del-miracle-alzina-gr-7,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Meseta del Solsonés,Solsona,El puente de la Frau y el Castellvell de Solsona,Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,15 km,653,839,215m,4:00h,Camping El Solsonès,Solsona,https://www.rutaspirineos.org/rutas/pont-de-afrau-castellvell-solsona,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Port del Comte,La Coma y la Pedra,Pedró dels Quatre Batlles (2.386m),Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,8 km",1.933,2.386,590m,4:00h,Aparcamiento de la Estivella,La Coma y la Pedra,https://www.rutaspirineos.org/rutas/pedro-dels-quatre-batlles-port-del-comte-solsones,True,11/11/2025
España,Cataluña,Lérida,Solsonés,Meseta del Solsonés,Pinell de Solsonès,Ruta de las Mentiras en Pinell de Solsonès,Rutas circulares;Patrimonio histórico;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,9 km",552,671,240m,2:45h,Iglesia de Sant Miquel,Pinell de Solsonès,https://www.rutaspirineos.org/rutas/ruta-de-les-mentides-pinell-de-solsones,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-ruta-de-les-mentides-pinell-de-solsones_es.pdf,11/11/2025
España,Cataluña,Lérida,Solsonés,Port del Comte,Odèn-Cambrils,Serra Seca y el Pla de les Guàrdies desde Cambrils,Paisajes pintorescos;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,0 km",1.037,1.400,490m,3:20h,Cambrils - Pista de la Comella,Cambrils,https://www.rutaspirineos.org/rutas/serra-seca-pla-de-les-guardies-cambrils-solsones,True,11/11/2025
España,Cataluña,Tarragona,Tierra Alta,Els Ports y las sierras de Pàndols i Cavalls,Arnes,Los Estrechos de Arnes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,4 km",468 ,570 ,110 m,2:30 h,Aparcamiento de Biarnets,Arnes,https://www.rutaspirineos.org/rutas/els-estrets-arnes-ports-terra-alta,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Es Bòrdes,Artiga de Lin y Uelhs deth Joèu,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,1.393,1.490,90m,1:10h,Aparcamiento Uelhs deth Joèu,Es Bòrdes,https://www.rutaspirineos.org/rutas/uelhs-deth-joeu-era-artiga-de-lin,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Vielha,Bassa d'Oles y bosque de Varicauba,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.596,1.602,10m,0:20h,Aparcamiento Bassa d'Oles,Gausac,https://www.rutaspirineos.org/rutas/bassa-d-oles,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,Circo y lagos de Colomèrs desde el Plan des Banhs,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,16 km,1.755,2.237,550m,6:00h,Plan des Banhs,Salardú,https://www.rutaspirineos.org/rutas/circ-estanys-de-colomers-ruta-dels-7-llacs-val-aran,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Baish Aran,Bausen,El hayedo de Carlac en Bausen,Paisajes pintorescos;Familias y niños;Rutas circulares;Flora y fauna,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,5 km",894,1.223,350m,2:30h,Bausen,Bausen,https://www.rutaspirineos.org/rutas/la-fageda-de-carlac-bausen,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Es Bòrdes,La mina Victoria y el lago de Arres,Patrimonio histórico;Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,5 km",1.309,1.556,382m,2:05h,Arres de Sus,Arres,https://www.rutaspirineos.org/rutas/la-mina-victoria-arres-de-sus,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,Lago de Baciver desde el Pla de Beret,"Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,5 km,1.852,2.123,280m,2:05h,Aparcamiento del Orri,Salardú,https://www.rutaspirineos.org/rutas/estany-de-baciver-val-aran-beret,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,"Montgarri, un santuario entre el Aran y el Pallars",Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,6 km",1.653,1.845,205m,2:20h,Pla de Beret,Salardú,https://www.rutaspirineos.org/rutas/santuario-de-montgarri-desde-el-plan-de-beret,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Vielha,Paseo por el Mijaran desde Vielha,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,8 km",928,1.046,160m,1:55h,Ayuntamiento de Vielha,Vielha,https://www.rutaspirineos.org/rutas/passeig-pel-mijaran-vielha,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Arròs,Saut deth Pish en el valle de Varradós,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,2 km",1.556,1.612,90m,0:45h,Plan des Artiguetes,Arrós,https://www.rutaspirineos.org/rutas/saut-deth-pish,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,,GR 11 - Etapa 23: Refugio de Colomers - Refugio dera Restanca,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","7,5 km",2.010,2.567,+555m / -685m,4:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-23-refugio-colomers-refugio-restanca,True,11/11/2025
España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,,GR 11 - Etapa 24: Refugio dera Restanca - Refugio de Conangles,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,4 km",1.555,2.344,+525m / -980m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-24-refugio-restanca-refugio-conangles,True,11/11/2025
España,Cataluña,Barcelona,Bajo Llobregat,Sant Llorenç del Munt i l'Obac - El Cairat,Sant Llorenç Savall,El Montcau (1.056 m) desde el Marquet de les Roques,Patrimonio histórico;Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,544 ,1.056 ,+ 645 m / - 645 m,4:10 h,Parquin Marquet de les Roques,Sant Llorenç Savall,https://www.rutaspirineos.org/rutas/montcau-marquet-de-les-roques,True,11/11/2025
España,Cataluña,Barcelona,Vallès Oriental,El Montseny,Cànoves i Samalús,El Castanyer Gros de Can Cuch y el pantano de Vallforners,"Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas;Familias y niños",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,5 km",444 ,818 ,+410 m / -410 m,3:30 h,Aparcamiento de Vallforners,Cànoves i Samalús,https://www.rutaspirineos.org/rutas/vallforners-castanyer-can-cuc-sant-salvador-terrades,True,11/11/2025
