route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha,distancia_total_km,altitud_minima_m,altitud_maxima_m,desnivel_acumulado_pos,desnivel_acumulado_neg,tiempo_total_min,dificultad_org,pais_org,region_org,provincia_org,comarca_org,zona_org,pueblo_org,nombre_ruta_org,Punto_salida_llegada_org,poblacion_cercana_org,categoria_org
63,espana,cataluna,gerona,bajo ampurdan,montanas de begur,palafrugell,de llafranc a tamariu por caminos tradicionales y de ronda,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,7 km",0.0,162.0,420m,4:00h,oficina de turismo de llafranc,llafranc,https://www.rutaspirineos.org/rutas/de-llafranc-a-tamariu-camins-tradicionals-ronda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-de-llafranc-a-tamariu-camins-tradicionals-ronda_es.pdf,11/11/2025,11.7,0.0,162.0,420.0,,240.0,Media,España,Cataluña,Gerona,Bajo Ampurdán,Montañas de Begur,Palafrugell,De Llafranc a Tamariu por caminos tradicionales y de ronda,Oficina de turismo de Llafranc,Llafranc,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;rutas circulares
64,espana,cataluna,gerona,garrotxa,alta garrotxa,montagut i oix,de sadernes a santa barbara en la alta garrotxa,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,1 km",249.0,722.0,552m,2:45h,sadernes,montagut i oix,https://www.rutaspirineos.org/rutas/de-sadernes-a-santa-barbara-de-pruneres,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-de-sadernes-a-santa-barbara-de-pruneres_es.pdf,11/11/2025,10.1,249.0,722.0,552.0,,165.0,Media,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,Montagut i Oix,De Sadernes a Santa Bàrbara en la Alta Garrotxa,Sadernes,Montagut i Oix,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares
65,francia,mediodiapirineos,ariege,los valles de ax,axlesthermes,,la dent dorlu 2222m por el sarrat de la llau,ascensiones media montana,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,5 km,1.512,2.222,710m,3:30h,final pista forestal de ascou,ascou,https://www.rutaspirineos.org/rutas/dent-d-orlu-por-el-sarrat-de-la-llau,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-dent-d-orlu-por-el-sarrat-de-la-llau_es.pdf,11/11/2025,5.0,1512.0,2222.0,710.0,,210.0,Notable,Francia,Mediodía-Pirineos,Ariege,Los Valles de Ax,Ax-les-Thermes,,La Dent d'Orlu (2.222m) por el Sarrat de la Llau,Final pista forestal de Ascou,Ascou,ascensiones media montana
66,espana,cataluna,lerida,alto urgel,la vall de la vansa,josa i tuixent,el cadinell 2113m desde josa de cadi,paisajes pintorescos;ascensiones media montana,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,3 km",1.393,2.113,720m,3:30h,entrada de josa de cadi,josa de cadi,https://www.rutaspirineos.org/rutas/el-cadinell-desde-josa-de-cadi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-cadinell-desde-josa-de-cadi_es.pdf,12/11/2025,8.3,1393.0,2113.0,720.0,,210.0,Notable,España,Cataluña,Lérida,Alto Urgel,La Vall de la Vansa,Josa i Tuixent,El Cadinell (2.113m) desde Josa de Cadí,Entrada de Josa de Cadí,Josa de Cadí,paisajes pintorescos;ascensiones media montana
67,espana,cataluna,lerida,pallars jussa,conca della,isona,el castillo de llorda,familias y ninos;patrimonio historico,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,3 km",792.0,954.0,200m,1:15h,llorda,llorda,https://www.rutaspirineos.org/rutas/el-castillo-de-llorda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-castillo-de-llorda_es.pdf,11/11/2025,3.3,792.0,954.0,200.0,,75.0,Baja,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Isona,El castillo de Llordá,Llordá,Llordá,familias y ninos;patrimonio historico
68,espana,cataluna,lerida,alta ribagorza,valle de boi,barruera,paseo por el salencar de barruera,lagos;rios y cascadas;flora y fauna;familias y ninos,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,2 km",1.082,1.095,13m,1:10h,iglesia de sant feliu de barruera,barruera,https://www.rutaspirineos.org/rutas/el-salencar-de-barruera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-salencar-de-barruera_es.pdf,11/11/2025,3.2,1082.0,1095.0,13.0,,70.0,Baja,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Barruera,Paseo por el Salencar de Barruera,Iglesia de Sant Feliu de Barruera,Barruera,lagos;rios y cascadas;flora y fauna;familias y ninos
69,espana,aragon,huesca,alto gallego,valle de tena,sallent de gallego,paseo hasta el salto en sallent de gallego,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,2 km",1.286,1.346,84m,0:40h,final paseo fermin arrudi,sallent de gallego,https://www.rutaspirineos.org/rutas/el-salto-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-salto-en-sallent-de-gallego_es.pdf,11/11/2025,2.2,1286.0,1346.0,84.0,,40.0,Baja,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Paseo hasta El Salto en Sallent de Gállego,Final paseo Fermín Arrudi,Sallent de Gállego,familias y ninos;lagos;rios y cascadas
70,espana,cataluna,lerida,pallars sobira,el valle de assua y el batlliu de sort,sort,el valle de assua desde sort,paisajes pintorescos;patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,30 km,692.0,1.452,1.265m,7:50h,sort  hotel les brases,sort,https://www.rutaspirineos.org/rutas/el-valle-de-assua-desde-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-valle-de-assua-desde-sort_es.pdf,11/11/2025,30.0,692.0,1452.0,1265.0,,470.0,Notable,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,El Valle de Àssua desde Sort,Sort - Hotel Les Brases,Sort,paisajes pintorescos;patrimonio historico;rutas circulares
71,espana,cataluna,gerona,bajo ampurdan,ardenyacadiretes bajo ampurdan,santa cristina de aro,els carcaixells den cama y el montclar en la ardenya,paisajes pintorescos;rutas circulares;ascensiones media montana,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"6,2 km",67.0,401.0,410m,2:25h,can llaurador,santa cristina de aro,https://www.rutaspirineos.org/rutas/els-carcaixells-en-cama-i-el-montclar-al-massis-de-ardenya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-els-carcaixells-en-cama-i-el-montclar-al-massis-de-ardenya_es.pdf,11/11/2025,6.2,67.0,401.0,410.0,,145.0,Notable,España,Cataluña,Gerona,Bajo Ampurdán,Ardenya-Cadiretes (Bajo Ampurdán),Santa Cristina de Aro,Els Carcaixells d'en Cama y el Montclar en la Ardenya,Can Llaurador,Santa Cristina de Aro,paisajes pintorescos;rutas circulares;ascensiones media montana
72,espana,cataluna,tarragona,tierra alta,els ports y las sierras de pandols i cavalls,arnes,los estrechos de arnes,paisajes pintorescos;familias y ninos;lagos;rios y cascadas,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,4 km",468.0,570.0,110 m,2:30 h,aparcamiento de biarnets,arnes,https://www.rutaspirineos.org/rutas/els-estrets-arnes-ports-terra-alta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-els-estrets-arnes-ports-terra-alta_es.pdf,11/11/2025,10.4,468.0,570.0,110.0,,150.0,Media,España,Cataluña,Tarragona,Tierra Alta,Els Ports y las sierras de Pàndols i Cavalls,Arnes,Los Estrechos de Arnes,Aparcamiento de Biarnets,Arnes,paisajes pintorescos;familias y ninos;lagos;rios y cascadas
73,espana,aragon,huesca,alto gallego,valle de tena,sallent de gallego,camino natural del embalse de lanuza,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,5 km",1.261,1.294,85m,1:50h,puente sobre el rio gallego,sallent de gallego,https://www.rutaspirineos.org/rutas/embalse-de-lanuza-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-embalse-de-lanuza-en-sallent-de-gallego_es.pdf,11/11/2025,6.5,1261.0,1294.0,85.0,,110.0,Baja,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Camino Natural del embalse de Lanuza,Puente sobre el río Gállego,Sallent de Gállego,familias y ninos;lagos;rios y cascadas
74,espana,cataluna,lerida,pallars sobira,vall ferrera,alins,ermita de sant quir en alins,familias y ninos;patrimonio historico,baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,1.045,1.106,60m,0:40h,inicio del pueblo de alins,alins,https://www.rutaspirineos.org/rutas/ermita-de-sant-quir-alins,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ermita-de-sant-quir-alins_es.pdf,11/11/2025,1.0,1045.0,1106.0,60.0,,40.0,Baja,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Ermita de Sant Quir en Alins,Inicio del pueblo de Alins,Alins,familias y ninos;patrimonio historico
75,espana,cataluna,gerona,bajo ampurdan,las gavarres bajo ampurdan,la bisbal del ampurdan,iglesia y dolmenes de fitor desde fonteta,patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,8 km",75.0,287.0,400m,3:40h,fonteta,fonteta,https://www.rutaspirineos.org/rutas/esglesia-i-dolmens-de-fitor-a-les-gavarres-des-de-fonteta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-esglesia-i-dolmens-de-fitor-a-les-gavarres-des-de-fonteta_es.pdf,11/11/2025,15.8,75.0,287.0,400.0,,220.0,Notable,España,Cataluña,Gerona,Bajo Ampurdán,Las Gavarres (Bajo Ampurdán),La Bisbal del Ampurdán,Iglesia y dólmenes de Fitor desde Fonteta,Fonteta,Fonteta,patrimonio historico;rutas circulares
76,espana,cataluna,gerona,el ripolles,valle de camprodon,setcases,gra de fajol 2714m por el espolon ne,rutas circulares;ascensiones alta montana;crestas y corredores,alta,"Rutas de alta montaña en un terreno bastante vertical y donde los agarres son menos evidentes. Se trata de vías de escalada de dificultad moderada, con el uso obligatorio de la cuerda.",6 km,2.087,2.714,640m,4:45h,parking refugio de ulldeter,setcases,https://www.rutaspirineos.org/rutas/espolon-nord-este-del-gra-de-fajol,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-espolon-nord-este-del-gra-de-fajol_es.pdf,11/11/2025,6.0,2087.0,2714.0,640.0,,285.0,Alta (AD),España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Setcases,Gra de Fajol (2.714m) por el espolón NE,Pàrking refugio de Ulldeter,Setcases,rutas circulares;ascensiones alta montana;crestas y corredores
77,andorra,parroquia de encamp,pas de la casa,,,,lago de las abelletes y picos de envalira 2823m y 2818m,lagos;rios y cascadas;ascensiones alta montana,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"7,9 km",2.823,2.125,740m,3:00h,aparcamiento de las abelletes,pas de la casa,https://www.rutaspirineos.org/rutas/estany-abelletes-i-pics-envalira-pas-de-la-casa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-abelletes-i-pics-envalira-pas-de-la-casa_es.pdf,11/11/2025,7.9,2823.0,2125.0,740.0,,180.0,Notable,Andorra,Parroquia de Encamp,Pas de la Casa,,,,Lago de las Abelletes y picos de Envalira (2.823m y 2.818m),Aparcamiento de las Abelletes,Pas de la Casa,lagos;rios y cascadas;ascensiones alta montana
78,espana,cataluna,lerida,pallars sobira,valle de siarb,soriguera,el pequeno lago de davall en comes de rubio,familias y ninos;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",1.961,2.086,125m,2:00h,refugio comes de rubio,rubio,https://www.rutaspirineos.org/rutas/estany-davall-volta-comes-de-rubio,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-davall-volta-comes-de-rubio_es.pdf,11/11/2025,4.2,1961.0,2086.0,125.0,,120.0,Baja,España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,El pequeño lago de Davall en Comes de Rubió,Refugio Comes de Rubió,Rubió,familias y ninos;rutas circulares
79,espana,cataluna,lerida,val daran,naut aran,salardu,lago de baciver desde el pla de beret,familias y ninos;lagos;rios y cascadas,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,5 km,1.852,2.123,280m,2:05h,aparcamiento del orri,salardu,https://www.rutaspirineos.org/rutas/estany-de-baciver-val-aran-beret,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-baciver-val-aran-beret_es.pdf,11/11/2025,5.0,1852.0,2123.0,280.0,,125.0,Media,España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,Lago de Baciver desde el Pla de Beret,Aparcamiento del Orri,Salardú,familias y ninos;lagos;rios y cascadas
80,andorra,parroquia de escaldesengordany,escaldesengordany,,,,lago de la nou y valles de claror y perafita,lagos;rios y cascadas;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",1.235,2.28,1.150m,4:20h,carretera de la plana,escaldesengordany,https://www.rutaspirineos.org/rutas/estany-de-la-nou-refugi-claror-perafita,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-la-nou-refugi-claror-perafita_es.pdf,11/11/2025,12.9,1235.0,2.28,1150.0,,260.0,Notable,Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de la Nou y valles de Claror y Perafita,Carretera de la Plana,Escaldes-Engordany,lagos;rios y cascadas;rutas circulares
81,espana,cataluna,lerida,pallars jussa,vall fosca bellera y manyanet,senterada,estany de montcortes desde senterada,lagos;rios y cascadas;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",729.0,1.1,650m,4:20h,senterada  casa leonardo,senterada,https://www.rutaspirineos.org/rutas/estany-de-montcortes-desde-senterada,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-montcortes-desde-senterada_es.pdf,11/11/2025,15.5,729.0,1.1,650.0,,260.0,Notable,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",Senterada,Estany de Montcortès desde Senterada,Senterada - Casa Leonardo,Senterada,lagos;rios y cascadas;rutas circulares
82,espana,cataluna,lerida,cerdana lerida,valle de la cerdana lerida,lles de cerdana,estany de lorri y refugio del pradell,raquetas de nieve;familias y ninos;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,7 km",1.956,2.328,400m,2:25h,estacion de esqui de lles,lles de cerdana,https://www.rutaspirineos.org/rutas/estany-de-orri-refugi-pradell-cap-de-rec-lles-de-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-orri-refugi-pradell-cap-de-rec-lles-de-cerdanya_es.pdf,11/11/2025,6.7,1956.0,2328.0,400.0,,145.0,Media,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Estany de l'Orri y refugio del Pradell,Estación de esquí de Lles,Lles de Cerdaña,raquetas de nieve;familias y ninos;rutas circulares
83,andorra,parroquia de escaldesengordany,escaldesengordany,,,,lago de engolasters y camino de las pardines,familias y ninos;lagos;rios y cascadas;flora y fauna,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,8 km",1.496,1.644,250m,3:40h,sant miquel de engolasters,escaldesengordany,https://www.rutaspirineos.org/rutas/estany-engolasters-cami-de-les-pardines-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-engolasters-cami-de-les-pardines-andorra_es.pdf,11/11/2025,13.8,1496.0,1644.0,250.0,,220.0,Media,Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de Engolasters y camino de las Pardines,Sant Miquel de Engolasters,Escaldes-Engordany,familias y ninos;lagos;rios y cascadas;flora y fauna
84,andorra,parroquia de ordino,el serrat,,,,lago y pico del estanyo 2915m,lagos;rios y cascadas;ascensiones alta montana;flora y fauna,alta,"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,7 km",1.783,2.915,1.175m,4:45h,la canya de la rabassa,el serrat,https://www.rutaspirineos.org/rutas/estany-i-pic-de-estanyo-ordino-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-i-pic-de-estanyo-ordino-andorra_es.pdf,11/11/2025,11.7,1783.0,2915.0,1175.0,,285.0,Alta (F),Andorra,Parroquia de Ordino,El Serrat,,,,Lago y pico del Estanyó (2.915m),La Canya de la Rabassa,El Serrat,lagos;rios y cascadas;ascensiones alta montana;flora y fauna
85,espana,cataluna,lerida,pallars jussa,conca della,figuerola de orcau y orcau,los lagos de basturs,familias y ninos;lagos;rios y cascadas;rutas circulares;flora y fauna,baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,646.0,654.0,10m,0:20h,aparcamiento  lagos de basturs,basturs,https://www.rutaspirineos.org/rutas/estanys-de-basturs-conca-della-pallars,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-basturs-conca-della-pallars_es.pdf,11/11/2025,1.0,646.0,654.0,10.0,,20.0,Baja,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Figuerola de Orcau y Orcau,Los lagos de Basturs,Aparcamiento - lagos de Basturs,Basturs,familias y ninos;lagos;rios y cascadas;rutas circulares;flora y fauna
86,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,lagos de gemena en el valle de llubriqueto,paisajes pintorescos;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,3 km",1.497,2.3,803m,5:25h,aparcamiento de toirigo,boi,https://www.rutaspirineos.org/rutas/estanys-de-gemena-en-el-valle-de-llubriqueto,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-gemena-en-el-valle-de-llubriqueto_es.pdf,11/11/2025,9.3,1497.0,2.3,803.0,,325.0,Notable,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos de Gémena en el valle de Llubriqueto,Aparcamiento de Toirigo,Boí,paisajes pintorescos;lagos;rios y cascadas
87,andorra,parroquia de canillo,valle de incles,,,,lagos de juclar y pico de escobes 2779m,lagos;rios y cascadas;ascensiones alta montana,alta,"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","13,7 km",1.835,2.779,1.030m,5:45h,puente de la baladosa,soldeu,https://www.rutaspirineos.org/rutas/estanys-de-juclar-pic-escobes-vall-incles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-juclar-pic-escobes-vall-incles_es.pdf,11/11/2025,13.7,1835.0,2779.0,1030.0,,345.0,Alta (PD),Andorra,Parroquia de Canillo,Valle de Incles,,,,Lagos de Juclar y pico de Escobes (2.779m),Puente de la Baladosa,Soldeu,lagos;rios y cascadas;ascensiones alta montana
88,espana,cataluna,lerida,cerdana lerida,valle de la cerdana lerida,lles de cerdana,estanys de la pera desde pollineres,familias y ninos;rutas circulares;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,4 km",2.14,2.39,275m,1:50h,fuente de las pollineres,lles de cerdana,https://www.rutaspirineos.org/rutas/estanys-de-la-pera-pollineres-lles-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-la-pera-pollineres-lles-cerdanya_es.pdf,11/11/2025,5.4,2.14,2.39,275.0,,110.0,Baja,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Estanys de la Pera desde Pollineres,Fuente de las Pollineres,Lles de Cerdaña,familias y ninos;rutas circulares;lagos;rios y cascadas
89,espana,cataluna,gerona,cerdana gerona,valle de la cerdana gerona,meranges,ruta al lago de malniu,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,2.126,2.25,140m,1:20h,refugio de malniu,meranges,https://www.rutaspirineos.org/rutas/estanys-del-malniu-cerdanya-meranges,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-del-malniu-cerdanya-meranges_es.pdf,11/11/2025,3.0,2126.0,2.25,140.0,,80.0,Baja,España,Cataluña,Gerona,Cerdaña (Gerona),Valle de la Cerdaña (Gerona),Meranges,Ruta al lago de Malniu,Refugio de Malniu,Meranges,familias y ninos;lagos;rios y cascadas
90,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,lagos del pesso desde el puente de la ribera,lagos;rios y cascadas;paisajes pintorescos,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,2 km",1.692,2.493,800m,6:00h,pont de la ribera,taull,https://www.rutaspirineos.org/rutas/estanys-del-pesso-vall-de-sant-marti-boi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-del-pesso-vall-de-sant-marti-boi_es.pdf,11/11/2025,9.2,1692.0,2493.0,800.0,,360.0,Notable,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos del Pessó desde el puente de la Ribera,Pont de la Ribera,Taüll,lagos;rios y cascadas;paisajes pintorescos
91,andorra,parroquia de encamp,encamp,,,,lagos de ensagents y alt del griu 2879m,lagos;rios y cascadas;rutas circulares;ascensiones alta montana,alta,"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,2 km",1.907,2.879,1.015m,5:10h,carretera de cortals  km 62,encamp,https://www.rutaspirineos.org/rutas/estanys-ensagents-alt-del-griu-encamp,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-ensagents-alt-del-griu-encamp_es.pdf,11/11/2025,10.2,1907.0,2879.0,1015.0,,310.0,Alta (F),Andorra,Parroquia de Encamp,Encamp,,,,Lagos de Ensagents y Alt del Griu (2.879m),"Carretera de Cortals - km 6,2",Encamp,lagos;rios y cascadas;rutas circulares;ascensiones alta montana
92,andorra,parroquia de encamp,grau roig,,,,lagos y circo de pessons,lagos;rios y cascadas;paisajes pintorescos;familias y ninos;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,11 km,2.103,2.605,530m,4:00h,estacion de esqui de grau roig,bordes de envalira,https://www.rutaspirineos.org/rutas/estanys-y-circ-de-pessons,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-y-circ-de-pessons_es.pdf,11/11/2025,11.0,2103.0,2605.0,530.0,,240.0,Media,Andorra,Parroquia de Encamp,Grau Roig,,,,Lagos y circo de Pessons,Estación de esquí de Grau Roig,Bordes de Envalira,lagos;rios y cascadas;paisajes pintorescos;familias y ninos;rutas circulares
93,espana,cataluna,gerona,alto ampurdan,cabo de creus,cadaques,faro de cala nans desde cadaques,paisajes pintorescos;familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.",5 km,13.0,86.0,180m,1:20h,hotel rocamar,cadaques,https://www.rutaspirineos.org/rutas/far-de-cala-nans-des-de-cadaques,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-far-de-cala-nans-des-de-cadaques_es.pdf,11/11/2025,5.0,13.0,86.0,180.0,,80.0,Baja,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Faro de Cala Nans desde Cadaqués,Hotel Rocamar,Cadaqués,paisajes pintorescos;familias y ninos;lagos;rios y cascadas
94,espana,cataluna,gerona,el ripolles,valle de camprodon,llanars,la fuente de las dous per los llanos de espinalba y de abella,rutas circulares;familias y ninos;paisajes pintorescos,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,2 km",982.0,1.42,525m,3:40h,puente del moli de llanars,llanars,https://www.rutaspirineos.org/rutas/font-de-les-dous-espinalba-abella-llanars,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-font-de-les-dous-espinalba-abella-llanars_es.pdf,11/11/2025,11.2,982.0,1.42,525.0,,220.0,Media,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Llanars,La fuente de las Dous per los llanos de Espinalba y de Abella,Puente del Molí de Llanars,Llanars,rutas circulares;familias y ninos;paisajes pintorescos
