route_id,pdf_path,table_idx,punto_de_paso,tiempo,altura,latitud,longitud
47,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cabecera-del-valle-de-aspe_es.pdf,3,Dejamos pista derecha a Peyranère,0:46h,1.398m,42.7900050º,-0.5607690º,
47,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cabecera-del-valle-de-aspe_es.pdf,3,1,,,,,
47,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cabecera-del-valle-de-aspe_es.pdf,3,Área de Sansanet,1:00h,1.320m,42.7974039º,-0.5551499º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Pradera de Ordesa,0:00h,1.305m,42.6493104º,-0.0577713º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Desvío Senda de los Cazadores,0:05h,1.310m,42.6474659º,-0.0558644º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Mirador de Calcilarruego,1:45h,1.955m,42.6414760º,-0.0541690º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,"4 5
        Desvío refugio de Góriz",4:00h,1.760m,42.6486060º,0.0157820º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Cola de Caballo,4:05h,1.755m,42.6499600º,0.0154470º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,"6 7
        Gradas de Soaso",4:45h,1.720m,42.6386662º,0.0010532º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Cabaña bosque de hayas,5:35h,1.573m,42.6358640º,-0.0248760º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Mirador cascada del Estrecho,5:40h,1.531m,42.6355941º,-0.0269819º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Desvío de las cascadas,5:50h,1.458m,42.6382410º,-0.0306750º,
49,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,4,Pradera de Ordesa,6:45h,1.305m,42.6493104º,-0.0577713º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Punto de paso,Tiempo,Altura,Latitud,Longitud,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Aparcamiento lago de Orédon,0:00h,1.857m,42.8277230º,0.1692970º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Cascada lago de Orédon,0:15h,1.883m,42.8292200º,0.1642160º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Les Laquettes lago oriental,0:50h,2.080m,42.8339010º,0.1549700º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,"4 5
        Les Laquettes lago occidental",1:10h,2.081m,42.8344830º,0.1482860º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Aparcamiento lago de Aubert,1:35h,2.152m,42.8406240º,0.1431210º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,"6 7
        Lago de Aumar",1:50h,2.188m,42.8442360º,0.1442690º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Cabecera lago de Aumar,2:00h,2.189m,42.8459380º,0.1436320º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Extremo SE lago de Aumar,2:40h,2.199m,42.8383130º,0.1563840º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,"9 1
        Collado de Estoudou",3:30h,2.215m,42.8273910º,0.1818000º,
50,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,4,Aparcamiento lago de Orédon,4:15h,1.857m,42.8277230º,0.1692970º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Plaza Major de Gósol,0:00h,1.428m,42.237018º,1.660398º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Collado de la fuente Terrers,0:45h,1.630m,42.248723º,1.664240º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,El Collell,1:35h,1.841m,42.260667º,1.685654º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Refugio Estasen,2:30h,1.674m,42.245097º,1.716290º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Mina de Coll de Jou,3:20h,1.518m,42.222650º,1.705943º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Collado del Cap de la Creu,4:00h,1.439m,42.228731º,1.672827º,
51,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,1,Plaza Major de Gósol,4:15h,1.428m,42.237018º,1.660398º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Refugio Casa de Piedra,0:00h,1.637m,42.7625100º,-0.2334640º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Mirador del balneario,0:10h,1.725m,42.7639640º,-0.2325550,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,3,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Cascada del Fraire,1:05h,2.040m,42.7781957º,-0.2312968º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,4,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Embalse de Bachimaña Bajo,1:30h,2.159m,42.7807460º,-0.2289610º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,5,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Embalse de Bachimaña Alto,1:45h,2.220m,42.7833900º,-0.2242120º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,"6 7
       Ibón Azul Inferior",2:30h,2.350m,42.7880400º,-0.2403110º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Ibón Azul Superio,2:45h,2.390m,42.7909520º,-0.2465190º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,2o día,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Ibón Azul Superior,0:00h,2.390m,42.7909520º,-0.2465190º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,"7 8 9
       Collado del Infierno",0:45h,2.721m,42.7892820º,-0.2643950º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Pico del Infierno Occidental,1:45h,3.073m,42.7830890º,-0.2632220º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Pico del Infierno Central,1:55h,3.082m,42.7814200º,-0.2604560º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Pico del Infierno Oriental,2:15h,3.076m,42.7814150º,-0.2591090º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Pico Arnales,3:35h,3.000m,42.7801580º,-0.2559130º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Collado de Saretas,4:15h,2.852m,42.7768020º,-0.2573740º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Pico de Pondiellos,4:40h,2.906m,42.7748500º,-0.2570540º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Collado de Pondiellos,5:00h,2.809m,42.774307º,-0.2597500º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,6,Refugio Casa de Piedra,7:15h,1.637m,42.7625100º,-0.2334640º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,1er día,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Refugio Casa de Piedra,0:00h,1.637m,42.7625100º,-0.2334640º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Mirador del balneario,0:10h,1.725m,42.7639640º,-0.2325550,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,3,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Cascada del Fraire,1:05h,2.040m,42.7781957º,-0.2312968º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,4,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Embalse de Bachimaña Bajo,1:30h,2.159m,42.7807460º,-0.2289610º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,5,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Embalse de Bachimaña Alto,1:45h,2.220m,42.7833900º,-0.2242120º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,"6 7
       Ibón Azul Inferior",2:30h,2.350m,42.7880400º,-0.2403110º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Ibón Azul Superio,2:45h,2.390m,42.7909520º,-0.2465190º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,2o día,,,,,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Ibón Azul Superior,0:00h,2.390m,42.7909520º,-0.2465190º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,"7 8 9
       Collado del Infierno",0:45h,2.721m,42.7892820º,-0.2643950º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Pico del Infierno Occidental,1:45h,3.073m,42.7830890º,-0.2632220º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Pico del Infierno Central,1:55h,3.082m,42.7814200º,-0.2604560º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Pico del Infierno Oriental,2:15h,3.076m,42.7814150º,-0.2591090º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Pico Arnales,3:35h,3.000m,42.7801580º,-0.2559130º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Collado de Saretas,4:15h,2.852m,42.7768020º,-0.2573740º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Pico de Pondiellos,4:40h,2.906m,42.7748500º,-0.2570540º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Collado de Pondiellos,5:00h,2.809m,42.774307º,-0.2597500º,
52,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,7,Refugio Casa de Piedra,7:15h,1.637m,42.7625100º,-0.2334640º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Hotel Les Brases - Sort,0:00h,693m,42.415018º,1.132340º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Bressui,0:25h,838m,42.406823º,1.123109º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Enviny,1:10h,1.150m,42.401098º,1.1146040º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,4,,,,,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Montardit de Dalt,1:30h,945m,42.394472º,1.104522º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Estac,3:10h,1.170m,42.381132º,1.076102º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Mencui,4:50h,1.261m,42.380748º,1.042576º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Cruce de Escós,5:35h,940m,42.372265º,1.048322º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Borda de Cossant,6:55h,1.339m,42.354261º,1.048407º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Balestui,7:55h,865m,42.341130º,1.032474º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Peramea,8:50h,902m,42.328816º,1.048266º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Gerri de la Sal,9:30h,607m,42.323489º,1.064856º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Santuario de Arboló,9:55h,640m,42.335403º,1.066027º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Puente de Arcalís - Baro,10:45h,637m,42.359610º,1.085812º,
53,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,3,Hotel Les Brases - Sort,12:55h,693m,42.415018º,1.132340º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Iglesia de Sapeira,0:00h,1.115m,42.253900º,0.789748º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Elevación de las antenas,2:00h,1.514m,42.249216º,0.833782º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Collado de Castellet,2:15h,1.472m,42.253396º,0.840503º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Castellet,4:00h,1.080m,42.274013º,0.825261º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Aulàs,4:40h,925m,42.274227º,0.802150º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Torre del Senyor,5:30h,880m,42.262252º,0.794776º,
54,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,1,Iglesia de Sapeira,6:10h,1.115m,42.253900º,0.789748º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Castillo de Sant Pere,0:00h,928m,42.310234º,2.171744º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Collado de Can Nadal,0:35h,1.107m,42.317177º,2.175554º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Curva cerrada a la derecha,1:20h,1.265m,42.334454º,2.180302º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Serrat,2:10h,1.350m,42.342216º,2.185020º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Fustanyà,2:35h,1.177m,42.342236º,2.170331º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Rialb,3:00h,1.025m,42.334599º,2.171506º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Batet,3:20h,1.119m,42.326359º,2.166304º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Collado de Segura,3:55h,1.107m,42.313873º,2.163021º,
55,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,3,Castillo de Sant Pere,4:30h,928m,42.310234º,2.171744º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Pradera de Ordesa,0:00h,1.305m,42.6493104º,-0.0577713º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Desvío de las cascadas,1:05h,1.4580m,42.6382410º,-0.0306750º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Mirador cascada del Estrecho,1:20h,1.531m,42.6355941º,-0.0269819º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,"4 5
        Cabaña bosque de hayas",1:30h,1.573m,42.6358640º,-0.0248760º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Gradas de Soaso,2:15h,1.687m,42.6378808º,-0.0008943º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Cola de Caballo,3:00h,1.755m,42.6499600º,0.0154470º,
56,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,3,Pradera de Ordesa,5:40h,1.305m,42.6493104º,-0.0577713º,
57,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-collada-de-conflent-os-de-civis_es.pdf,2,Pista de la collada de Conﬂ ent,0:00h,1.686m,42.5080230º,1.4274330º,
