route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
43,Francia,Mediodía-Pirineos,Altos Pirineos,Pays Toy,Gavarnie,,Circo de Gavarnie y la Gran Cascada,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,11 km,1.365,1.75,385m,3:20h,Oficina de Turismo de Gavarnie,Gavarnie,https://www.rutaspirineos.org/rutas/circo-de-gavarnie-la-grande-cascade,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circo-de-gavarnie-la-grande-cascade_es.pdf,11/11/2025
44,España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Besalú,Circular Besalú - Beuda,Patrimonio histórico;Rutas circulares;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,5 km",154.0,370.0,380m,3:20h,Parada de autobús de Besalú,Besalú,https://www.rutaspirineos.org/rutas/circuit-de-besalu-beuda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circuit-de-besalu-beuda_es.pdf,11/11/2025
45,España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Olot,"Circuito de los volcanes, lavas y antiguos lagos",Familias y niños;Rutas circulares;Paisajes pintorescos,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,8 km",435.0,604.0,175m,2:40h,Parc Nou de Olot,Olot,https://www.rutaspirineos.org/rutas/circuit-dels-volcans-laves-i-antics-llacs,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circuit-dels-volcans-laves-i-antics-llacs_es.pdf,11/11/2025
46,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Montaña Negra de Cadaqués,Rutas circulares;Ascensiones media montaña;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,10 km,3.0,433.0,470m,3:15h,Cadaqués - Edificio del Casino,Cadaqués,https://www.rutaspirineos.org/rutas/circular-a-la-muntanya-negra-des-de-cadaques,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-a-la-muntanya-negra-des-de-cadaques_es.pdf,11/11/2025
47,Francia,Aquitania,Pirineos Atlánticos,Valle de Aspe,Bedous-Accous,,Circular por la cabecera del valle de Aspe desde Sansanet,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas;Raquetas de nieve",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,1.315,1.4,150m,1:00h,Área de Sansanet,Urdos o Candanchú,https://www.rutaspirineos.org/rutas/circular-cabecera-del-valle-de-aspe,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-cabecera-del-valle-de-aspe_es.pdf,11/11/2025
48,España,Cataluña,Barcelona,Garraf,Macizo del Garraf y sierra de Ordal,Olérdola,Circular por la Montaña de Olèrdola,Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,6 km",169.0,340.0,+ 290 m / - 290 m,4:00 h,Conjunto Monumental Olèrdola,Sant Miquel d’Olèrdola,https://www.rutaspirineos.org/rutas/circular-castillo-olerdola,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-castillo-olerdola_es.pdf,11/11/2025
49,España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Circular a la Cola de Caballo por la Faja de Pelay,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"20,1 km",1.305,1.977,890m,6:45h,Pradera de Ordesa,Torla,https://www.rutaspirineos.org/rutas/circular-cola-de-caballo-por-faja-de-pelay,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-cola-de-caballo-por-faja-de-pelay_es.pdf,11/11/2025
50,Francia,Mediodía-Pirineos,Altos Pirineos,Valle de Aure,Saint-Lary-Soulan,,Ruta circular por los lagos de Néouvielle,"Lagos, ríos y cascadas;Rutas circulares;Paisajes pintorescos",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"11,1 km",1.857,2.215,515m,4:15h,Lago de Orédon,Saint-Lary-Soulan,https://www.rutaspirineos.org/rutas/circular-lagos-de-neouvielle,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-lagos-de-neouvielle_es.pdf,11/11/2025
51,España,Cataluña,Barcelona,Berguedá,Los valles de Saldes y Gósol,Gósol,Pedraforca 360,Paisajes pintorescos;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17 km,1.403,1.844,759m,4:15h,Plaza Major,Gósol,https://www.rutaspirineos.org/rutas/circular-pedraforca-360-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-pedraforca-360-bergueda_es.pdf,11/11/2025
52,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Panticosa,Picos del Infierno (3.073m-3.082m-3.076m) desde el balneario de Panticosa,Rutas circulares;Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","16,6 km",1.637,3.082,+753m | +844m / -1.597m,2:45h | 7:15h,Refugio Casa de Piedra,Panticosa,https://www.rutaspirineos.org/rutas/circular-picos-del-infierno-desde-el-balneario-de-panticosa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-picos-del-infierno-desde-el-balneario-de-panticosa_es.pdf,11/11/2025
53,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Circular Sort - Estac - Peramea - Gerri - Arboló - Sort,"Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"48,4 km",586.0,1.34,2.280m,12:55h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/circular-sort-estac-peramea-gerri-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-sort-estac-peramea-gerri-sort_es.pdf,11/11/2025
54,España,Cataluña,Lérida,Pallars Jussá,Conca de Tremp y Terreta,Sapeira,Ruta circular por la Terreta desde Sapeira,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,6 km",834.0,1.514,916m,6:10h,Iglesia de Sapeira,Sapeira,https://www.rutaspirineos.org/rutas/circular-terreta-roureda-aulas-sapeira-castellet,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-terreta-roureda-aulas-sapeira-castellet_es.pdf,11/11/2025
55,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Ribes de Freser,Circular por el Alt Freser desde Ribes,Rutas circulares;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,4 km",925.0,1.35,640m,4:30h,Castillo de Sant Pere,Ribes de Freser,https://www.rutaspirineos.org/rutas/circular-veinats-alt-freser-des-de-ribes-ripolles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circular-veinats-alt-freser-des-de-ribes-ripolles_es.pdf,11/11/2025
56,España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Cola de Caballo por las gradas de Soaso,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.305,1.755,500m,5:40h,Pradera de Ordesa,Torla,https://www.rutaspirineos.org/rutas/cola-de-caballo-por-las-gradas-de-soaso,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cola-de-caballo-por-las-gradas-de-soaso_es.pdf,11/11/2025
57,España,Cataluña,Lérida,Alto Urgel,Urgellet,Los Valles de Valira,Collado de Conflent en Os de Civís,Familias y niños;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,8 km",1.683,2.2,550m,3:00h,,Os de Civís,https://www.rutaspirineos.org/rutas/collada-de-conflent-os-de-civis,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-collada-de-conflent-os-de-civis_es.pdf,12/11/2025
58,España,Cataluña,Lérida,Pallars Jussá,Montsec,Sant Esteve de la Sarga,Desfiladero de Mont-rebei en la sierra del Montsec,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,2 km",510.0,635.0,150m,3:10h,La Masieta,Sant Esteve de la Sarga,https://www.rutaspirineos.org/rutas/congost-de-mont-rebei,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-congost-de-mont-rebei_es.pdf,11/11/2025
59,España,Cataluña,Gerona,Gironés,El valle del Ter,Sant Julià de Ramis,El desfiladero del Ter y la montaña de los Sants Metges,Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,2 km",47.0,195.0,150m,2:20h,Plaza de la Font Picant,Sant Julià de Ramis,https://www.rutaspirineos.org/rutas/congost-del-ter-i-muntanya-de-sants-metges-sant-julia-de-ramis,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-congost-del-ter-i-muntanya-de-sants-metges-sant-julia-de-ramis_es.pdf,11/11/2025
60,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Saint-Pierre-dels-Forcats,,El corredor Vermicelle en Cambre d'Aze,Crestas y corredores;Ascensiones alta montaña,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.",12 km,1.637,2.74,1.200m,5:10h,Estación esquí Cambre d'Aze,Saint-Pierre-dels-Forcats,https://www.rutaspirineos.org/rutas/corredor-vermicelle-en-cambre-d-aze,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-corredor-vermicelle-en-cambre-d-aze_es.pdf,11/11/2025
61,España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Gombrèn,Costa Pubilla o Pla de Pujalts (2.056m) en el Montgrony,Rutas circulares;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,6 km",1.342,2.056,775m,4:30h,Santuario de Montgrony,Gombrèn,https://www.rutaspirineos.org/rutas/costa-pubilla-pla-de-pujalts-santuari-montgrony-ripolles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-costa-pubilla-pla-de-pujalts-santuari-montgrony-ripolles_es.pdf,11/11/2025
62,España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Eriste,Posets (3.375m) por la cresta de Espadas,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD+),Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,"17,5 km",1.55,3.375,+600m | +1.450m / -2.050m,1:45h | 10:15h,Párking puente de Espigantosa,Eriste,https://www.rutaspirineos.org/rutas/cresta-de-espadas-al-posets,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cresta-de-espadas-al-posets_es.pdf,11/11/2025
63,España,Cataluña,Gerona,Bajo Ampurdán,Montañas de Begur,Palafrugell,De Llafranc a Tamariu por caminos tradicionales y de ronda,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,7 km",0.0,162.0,420m,4:00h,Oficina de turismo de Llafranc,Llafranc,https://www.rutaspirineos.org/rutas/de-llafranc-a-tamariu-camins-tradicionals-ronda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-de-llafranc-a-tamariu-camins-tradicionals-ronda_es.pdf,11/11/2025
64,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,Montagut i Oix,De Sadernes a Santa Bàrbara en la Alta Garrotxa,Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,1 km",249.0,722.0,552m,2:45h,Sadernes,Montagut i Oix,https://www.rutaspirineos.org/rutas/de-sadernes-a-santa-barbara-de-pruneres,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-de-sadernes-a-santa-barbara-de-pruneres_es.pdf,11/11/2025
65,Francia,Mediodía-Pirineos,Ariege,Los Valles de Ax,Ax-les-Thermes,,La Dent d'Orlu (2.222m) por el Sarrat de la Llau,Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,5 km,1.512,2.222,710m,3:30h,Final pista forestal de Ascou,Ascou,https://www.rutaspirineos.org/rutas/dent-d-orlu-por-el-sarrat-de-la-llau,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-dent-d-orlu-por-el-sarrat-de-la-llau_es.pdf,11/11/2025
66,España,Cataluña,Lérida,Alto Urgel,La Vall de la Vansa,Josa i Tuixent,El Cadinell (2.113m) desde Josa de Cadí,Paisajes pintorescos;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,3 km",1.393,2.113,720m,3:30h,Entrada de Josa de Cadí,Josa de Cadí,https://www.rutaspirineos.org/rutas/el-cadinell-desde-josa-de-cadi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-cadinell-desde-josa-de-cadi_es.pdf,12/11/2025
67,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Isona,El castillo de Llordá,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,3 km",792.0,954.0,200m,1:15h,Llordá,Llordá,https://www.rutaspirineos.org/rutas/el-castillo-de-llorda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-castillo-de-llorda_es.pdf,11/11/2025
68,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Barruera,Paseo por el Salencar de Barruera,"Lagos, ríos y cascadas;Flora y fauna;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,2 km",1.082,1.095,13m,1:10h,Iglesia de Sant Feliu de Barruera,Barruera,https://www.rutaspirineos.org/rutas/el-salencar-de-barruera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-salencar-de-barruera_es.pdf,11/11/2025
69,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Paseo hasta El Salto en Sallent de Gállego,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,2 km",1.286,1.346,84m,0:40h,Final paseo Fermín Arrudi,Sallent de Gállego,https://www.rutaspirineos.org/rutas/el-salto-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-salto-en-sallent-de-gallego_es.pdf,11/11/2025
70,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,El Valle de Àssua desde Sort,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,30 km,692.0,1.452,1.265m,7:50h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/el-valle-de-assua-desde-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-el-valle-de-assua-desde-sort_es.pdf,11/11/2025
71,España,Cataluña,Gerona,Bajo Ampurdán,Ardenya-Cadiretes (Bajo Ampurdán),Santa Cristina de Aro,Els Carcaixells d'en Cama y el Montclar en la Ardenya,Paisajes pintorescos;Rutas circulares;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"6,2 km",67.0,401.0,410m,2:25h,Can Llaurador,Santa Cristina de Aro,https://www.rutaspirineos.org/rutas/els-carcaixells-en-cama-i-el-montclar-al-massis-de-ardenya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-els-carcaixells-en-cama-i-el-montclar-al-massis-de-ardenya_es.pdf,11/11/2025
72,España,Cataluña,Tarragona,Tierra Alta,Els Ports y las sierras de Pàndols i Cavalls,Arnes,Los Estrechos de Arnes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,4 km",468.0,570.0,110 m,2:30 h,Aparcamiento de Biarnets,Arnes,https://www.rutaspirineos.org/rutas/els-estrets-arnes-ports-terra-alta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-els-estrets-arnes-ports-terra-alta_es.pdf,11/11/2025
73,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Camino Natural del embalse de Lanuza,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,5 km",1.261,1.294,85m,1:50h,Puente sobre el río Gállego,Sallent de Gállego,https://www.rutaspirineos.org/rutas/embalse-de-lanuza-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-embalse-de-lanuza-en-sallent-de-gallego_es.pdf,11/11/2025
74,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Ermita de Sant Quir en Alins,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,1.045,1.106,60m,0:40h,Inicio del pueblo de Alins,Alins,https://www.rutaspirineos.org/rutas/ermita-de-sant-quir-alins,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ermita-de-sant-quir-alins_es.pdf,11/11/2025
75,España,Cataluña,Gerona,Bajo Ampurdán,Las Gavarres (Bajo Ampurdán),La Bisbal del Ampurdán,Iglesia y dólmenes de Fitor desde Fonteta,Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,8 km",75.0,287.0,400m,3:40h,Fonteta,Fonteta,https://www.rutaspirineos.org/rutas/esglesia-i-dolmens-de-fitor-a-les-gavarres-des-de-fonteta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-esglesia-i-dolmens-de-fitor-a-les-gavarres-des-de-fonteta_es.pdf,11/11/2025
76,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Setcases,Gra de Fajol (2.714m) por el espolón NE,Rutas circulares;Ascensiones alta montaña;Crestas y corredores,Alta (AD),"Rutas de alta montaña en un terreno bastante vertical y donde los agarres son menos evidentes. Se trata de vías de escalada de dificultad moderada, con el uso obligatorio de la cuerda.",6 km,2.087,2.714,640m,4:45h,Pàrking refugio de Ulldeter,Setcases,https://www.rutaspirineos.org/rutas/espolon-nord-este-del-gra-de-fajol,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-espolon-nord-este-del-gra-de-fajol_es.pdf,11/11/2025
77,Andorra,Parroquia de Encamp,Pas de la Casa,,,,Lago de las Abelletes y picos de Envalira (2.823m y 2.818m),"Lagos, ríos y cascadas;Ascensiones alta montaña",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"7,9 km",2.823,2.125,740m,3:00h,Aparcamiento de las Abelletes,Pas de la Casa,https://www.rutaspirineos.org/rutas/estany-abelletes-i-pics-envalira-pas-de-la-casa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-abelletes-i-pics-envalira-pas-de-la-casa_es.pdf,11/11/2025
78,España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Soriguera,El pequeño lago de Davall en Comes de Rubió,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",1.961,2.086,125m,2:00h,Refugio Comes de Rubió,Rubió,https://www.rutaspirineos.org/rutas/estany-davall-volta-comes-de-rubio,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-davall-volta-comes-de-rubio_es.pdf,11/11/2025
79,España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,Lago de Baciver desde el Pla de Beret,"Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,5 km,1.852,2.123,280m,2:05h,Aparcamiento del Orri,Salardú,https://www.rutaspirineos.org/rutas/estany-de-baciver-val-aran-beret,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-baciver-val-aran-beret_es.pdf,11/11/2025
80,Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de la Nou y valles de Claror y Perafita,"Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",1.235,2.28,1.150m,4:20h,Carretera de la Plana,Escaldes-Engordany,https://www.rutaspirineos.org/rutas/estany-de-la-nou-refugi-claror-perafita,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-la-nou-refugi-claror-perafita_es.pdf,11/11/2025
81,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",Senterada,Estany de Montcortès desde Senterada,"Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",729.0,1.1,650m,4:20h,Senterada - Casa Leonardo,Senterada,https://www.rutaspirineos.org/rutas/estany-de-montcortes-desde-senterada,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-montcortes-desde-senterada_es.pdf,11/11/2025
82,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Estany de l'Orri y refugio del Pradell,Raquetas de nieve;Familias y niños;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,7 km",1.956,2.328,400m,2:25h,Estación de esquí de Lles,Lles de Cerdaña,https://www.rutaspirineos.org/rutas/estany-de-orri-refugi-pradell-cap-de-rec-lles-de-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-de-orri-refugi-pradell-cap-de-rec-lles-de-cerdanya_es.pdf,11/11/2025
83,Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de Engolasters y camino de las Pardines,"Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,8 km",1.496,1.644,250m,3:40h,Sant Miquel de Engolasters,Escaldes-Engordany,https://www.rutaspirineos.org/rutas/estany-engolasters-cami-de-les-pardines-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-engolasters-cami-de-les-pardines-andorra_es.pdf,11/11/2025
84,Andorra,Parroquia de Ordino,El Serrat,,,,Lago y pico del Estanyó (2.915m),"Lagos, ríos y cascadas;Ascensiones alta montaña;Flora y fauna",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,7 km",1.783,2.915,1.175m,4:45h,La Canya de la Rabassa,El Serrat,https://www.rutaspirineos.org/rutas/estany-i-pic-de-estanyo-ordino-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estany-i-pic-de-estanyo-ordino-andorra_es.pdf,11/11/2025
85,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Figuerola de Orcau y Orcau,Los lagos de Basturs,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,646.0,654.0,10m,0:20h,Aparcamiento - lagos de Basturs,Basturs,https://www.rutaspirineos.org/rutas/estanys-de-basturs-conca-della-pallars,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-basturs-conca-della-pallars_es.pdf,11/11/2025
